,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
2535,KONKAN & GOA,1929,1.0,0.0,3.2,14.9,6.2,773.8,767.6,516.0,250.9,152.4,11.2,12.1,2509.4,1.0,24.3,2308.3,175.8
2536,KONKAN & GOA,1930,0.0,0.2,0.1,0.3,12.5,1024.9,690.5,427.3,542.6,136.2,10.6,0.6,2845.7,0.2,12.8,2685.3,147.4
2537,KONKAN & GOA,1931,0.0,0.0,0.1,1.7,1.8,344.9,1867.2,944.9,307.1,458.9,51.5,21.2,3999.3,0.0,3.6,3464.2,531.5
2538,KONKAN & GOA,1932,0.5,0.0,0.0,2.9,45.9,435.3,1248.1,485.6,456.2,259.1,21.1,8.2,2962.9,0.5,48.7,2625.2,288.5
2539,KONKAN & GOA,1933,0.0,0.1,1.6,15.3,129.2,816.5,909.0,758.6,485.8,179.7,19.2,28.4,3343.4,0.1,146.2,2969.8,227.3
2540,KONKAN & GOA,1934,0.7,0.0,0.3,2.7,0.7,1060.2,893.0,870.7,329.7,60.3,53.5,0.5,3272.3,0.7,3.7,3153.5,114.4
2541,KONKAN & GOA,1935,0.2,0.1,0.0,0.0,0.0,700.3,879.9,466.5,419.7,64.3,11.0,0.6,2542.7,0.3,0.1,2466.4,75.9
2542,KONKAN & GOA,1936,0.0,0.0,0.1,0.3,23.2,993.2,712.9,534.9,376.2,62.1,79.1,1.3,2783.4,0.0,23.7,2617.2,142.5
2543,KONKAN & GOA,1937,0.0,4.0,0.1,53.5,2.4,826.9,1492.9,270.1,378.1,159.2,4.0,0.7,3192.0,4.0,56.0,2968.0,163.9
2544,KONKAN & GOA,1938,0.0,0.4,4.0,2.1,55.2,1118.1,908.2,634.8,345.6,400.0,27.0,0.1,3495.5,0.4,61.3,3006.7,427.1
2545,KONKAN & GOA,1939,0.2,0.0,0.4,5.8,0.1,509.6,1116.8,817.1,227.9,58.0,22.7,0.0,2758.6,0.2,6.3,2671.4,80.8
2546,KONKAN & GOA,1940,4.8,6.1,2.8,1.9,7.9,668.3,1105.9,987.1,328.9,172.7,26.7,0.6,3313.7,10.8,12.6,3090.2,200.0
