,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1402,HARYANA DELHI & CHANDIGARH,1946,0.1,9.7,1.7,3.4,27.0,72.0,122.9,155.4,17.3,15.6,1.0,11.6,437.8,9.8,32.1,367.6,28.3
1403,HARYANA DELHI & CHANDIGARH,1947,17.2,15.8,7.2,0.6,3.0,13.7,22.9,80.6,292.9,4.5,0.0,6.2,464.5,33.0,10.8,410.0,10.7
1404,HARYANA DELHI & CHANDIGARH,1948,34.4,31.4,18.8,1.1,4.8,16.0,212.4,233.0,34.6,4.3,0.9,0.3,592.1,65.9,24.7,496.1,5.4
1405,HARYANA DELHI & CHANDIGARH,1949,3.4,27.9,0.7,1.2,5.9,12.1,287.9,58.3,84.7,1.2,0.0,2.0,485.3,31.3,7.8,442.9,3.2
1406,HARYANA DELHI & CHANDIGARH,1950,22.2,6.5,18.1,0.5,6.1,9.7,220.4,147.6,118.7,0.0,0.0,1.4,551.1,28.7,24.7,496.4,1.4
1407,HARYANA DELHI & CHANDIGARH,1951,8.2,0.4,33.6,11.6,9.1,21.3,56.0,135.4,35.0,0.2,27.4,0.0,338.2,8.7,54.2,247.7,27.7
1408,HARYANA DELHI & CHANDIGARH,1952,8.2,17.8,12.0,2.6,10.8,67.1,122.5,311.0,1.3,0.0,0.0,3.2,556.3,26.0,25.3,501.9,3.2
1409,HARYANA DELHI & CHANDIGARH,1953,39.5,1.6,0.0,4.1,5.9,58.9,241.0,154.9,48.4,0.9,0.0,6.6,561.9,41.1,10.0,503.3,7.5
1410,HARYANA DELHI & CHANDIGARH,1954,26.1,91.0,10.1,0.4,3.9,26.7,152.3,45.6,136.6,43.9,0.3,0.0,537.0,117.1,14.5,361.2,44.2
1411,HARYANA DELHI & CHANDIGARH,1955,32.8,1.9,7.7,7.3,12.7,66.1,100.3,173.1,159.3,129.4,2.8,0.6,694.1,34.7,27.7,498.8,132.8
1412,HARYANA DELHI & CHANDIGARH,1956,16.6,3.1,25.6,0.8,2.4,50.8,239.1,159.5,19.5,131.3,4.4,0.6,653.8,19.7,28.9,468.9,136.3
1413,HARYANA DELHI & CHANDIGARH,1957,53.2,0.2,28.9,2.8,6.9,24.4,190.6,101.6,149.6,26.6,7.7,24.7,617.2,53.4,38.7,466.2,58.9
1414,HARYANA DELHI & CHANDIGARH,1958,4.1,0.7,5.4,1.9,4.4,17.0,150.0,182.7,273.4,21.8,1.0,10.6,673.0,4.8,11.7,623.1,33.4
1415,HARYANA DELHI & CHANDIGARH,1959,28.4,8.0,3.8,0.4,13.2,25.3,103.8,163.8,102.8,16.1,19.3,0.1,484.9,36.4,17.4,395.7,35.4
1416,HARYANA DELHI & CHANDIGARH,1960,11.3,0.0,24.4,4.2,1.3,33.1,249.9,339.0,15.6,35.2,0.0,8.9,722.9,11.3,30.0,637.5,44.1
1417,HARYANA DELHI & CHANDIGARH,1961,40.2,29.9,0.4,4.6,11.0,46.2,150.1,251.4,52.4,25.8,6.6,9.2,627.9,70.2,16.0,500.1,41.6
1418,HARYANA DELHI & CHANDIGARH,1962,21.1,10.4,7.7,1.3,1.5,14.0,144.7,111.5,189.4,0.0,2.9,6.5,511.0,31.5,10.5,459.6,9.4
1419,HARYANA DELHI & CHANDIGARH,1963,3.1,4.1,4.4,2.0,3.9,40.7,55.3,307.6,85.3,0.0,9.0,6.3,521.8,7.2,10.4,488.9,15.4
1420,HARYANA DELHI & CHANDIGARH,1964,4.7,1.5,0.9,0.4,14.6,8.8,370.7,191.5,111.2,0.6,0.1,6.0,710.9,6.2,15.9,682.1,6.7
